,COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS,LEVEL,HEI
468,Interaction and User Experience Design,DL839,683,683,8,"Dun Laoghaire Institute of Art, Design and Technology"
469,Digital Marketing,DL840,228,228,8,"Dun Laoghaire Institute of Art, Design and Technology"
470,English and Equality Studies,DL841,276,,8,"Dun Laoghaire Institute of Art, Design and Technology"
471,Architecture,DN100,510,,8,University College Dublin (NUI)
472,Landscape Architecture,DN120,407,,8,University College Dublin (NUI)
473,City Planning and Environmental Policy,DN130,407,400,8,University College Dublin (NUI)
474,Engineering (Common Entry),DN150,531,521,8,University College Dublin (NUI)
475,Science (options),DN200,533,,8,University College Dublin (NUI)
476,Computer Science (Common Entry),DN201,510,,8,University College Dublin (NUI)
477,Actuarial and Financial Studies,DN230,601,,8,University College Dublin (NUI)
478,Sustainability,DN240,440,,8,University College Dublin (NUI)
479,Agricultural Science (options),DN250,456,455,8,University College Dublin (NUI)
480,Dairy Business,DN252,410,,8,University College Dublin (NUI)
481,Agri - Environmental Sciences,DN253,418,,8,University College Dublin (NUI)
482,Food Science,DN261,477,,8,University College Dublin (NUI)
483,Human Nutrition,DN262,531,,8,University College Dublin (NUI)
484,Forestry,DN271,311,,8,University College Dublin (NUI)
485,"Horticulture, Landscape and Sportsturf Management",DN272,297,282,8,University College Dublin (NUI)
486,Veterinary Medicine - Undergraduate Entry,DN300,589,,8,University College Dublin (NUI)
487,Veterinary Medicine - Graduate Entry (GAMSAT required),DN301,,,8,University College Dublin (NUI)
488,Veterinary Nursing,DN310,478,477,8,University College Dublin (NUI)
489,Medicine - Undergraduate Entry (HPAT required),DN400,737,736,8,University College Dublin (NUI)
490,Medicine - Graduate Entry (GAMSAT required),DN401,,,8,University College Dublin (NUI)
491,Radiography,DN410,534,532,8,University College Dublin (NUI)
492,Radiography - Graduate Entry,DN411,,,8,University College Dublin (NUI)
493,Physiotherapy,DN420,578,577,8,University College Dublin (NUI)
494,Health and Performance Science,DN425,510,509,8,University College Dublin (NUI)
495,Sport and Exercise Management,DN430,455,445,8,University College Dublin (NUI)
496,"Biomedical, Health and Life Sciences",DN440,590,589,8,University College Dublin (NUI)
497,General Nursing,DN450,429,424,8,University College Dublin (NUI)
498,Children`s and General Nursing (Integrated),DN451,509,506,8,University College Dublin (NUI)
499,Midwifery,DN452,489,476,8,University College Dublin (NUI)
500,Mental Health Nursing,DN453,397,393,8,University College Dublin (NUI)
501,Joint Honours (options),DN520,310,,8,University College Dublin (NUI)
502,Humanities (options),DN530,340,336,8,University College Dublin (NUI)
503,Modern Languages (options),DN541,303,,8,University College Dublin (NUI)
504,Law (options),DN600,546,544,8,University College Dublin (NUI)
505,Business and Law,DN610,545,,8,University College Dublin (NUI)
506,Commerce,DN650,521,521,8,University College Dublin (NUI)
507,Commerce International (options),DN660,517,511,8,University College Dublin (NUI)
508,Economics and Finance,DN670,613,,8,University College Dublin (NUI)
509,Social Sciences (options),DN700,421,419,8,University College Dublin (NUI)
510,Economics,DN710,498,498,8,University College Dublin (NUI)
511,Psychology,DN720,530,522,8,University College Dublin (NUI)
512,Social Policy and Sociology,DN750,378,,8,University College Dublin (NUI)
524,Accounting,GA181,309,,8,Galway-Mayo Institute of Technology
525,Business,GA182,287,,8,Galway-Mayo Institute of Technology
526,Business Information Systems,GA183,296,,8,Galway-Mayo Institute of Technology
527,Marketing and Sales,GA184,307,,8,Galway-Mayo Institute of Technology
528,Finance and Economics,GA185,293,,8,Galway-Mayo Institute of Technology
529,Business with Entrepreneurship,GA186,280,,8,Galway-Mayo Institute of Technology
530,Rural Enterprise and Agri-Business,GA187,281,,8,Galway-Mayo Institute of Technology
534,Film and Documentary,GA281,304,,8,Galway-Mayo Institute of Technology
535,Heritage Studies,GA282,220,,8,Galway-Mayo Institute of Technology
536,Contemporary Art,GA283,679,,8,Galway-Mayo Institute of Technology
537,Design,GA284,303,,8,Galway-Mayo Institute of Technology
538,"Education (Art, Design and Graphics)",GA285,,,8,Galway-Mayo Institute of Technology
547,International Hotel Management,GA380,242,,8,Galway-Mayo Institute of Technology
548,International Tourism Management,GA381,278,,8,Galway-Mayo Institute of Technology
549,Culinary and Gastronomic Science,GA382,206,,8,Galway-Mayo Institute of Technology
550,Event Management with Public Relations,GA384,212,,8,Galway-Mayo Institute of Technology
555,Construction Management,GA480,260,,8,Galway-Mayo Institute of Technology
556,Quantity Surveying and Construction Economics,GA482,288,,8,Galway-Mayo Institute of Technology
557,Architectural Technology,GA483,265,,8,Galway-Mayo Institute of Technology
