,code,title,pointsR1,pointsR2
591,GA789,Agriculture and Environmental Management (Mountbellew Campus),297,339
592,GA790,Sport and Exercise Science,350,379
593,GA791,Public Health Nutrition,364,397
594,GA880,General Nursing - Mayo Campus,389,400
595,GA882,Psychiatric Nursing - Mayo Campus,346,370
596,GA885,Outdoor Education - Mayo Campus,210,298
597,GA887,History and Geography - Mayo Campus,228,296
598,GA889,Applied Social Care - Mayo Campus,260,297
599,GA890,Early Childhood Care and Education - Mayo Campus,278,319
600,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376,389
601,GA981,Furniture Design and Manufacture - Letterfrack Campus,271,350
602,GA982,Furniture and Wood Technology - Letterfrack Campus,270,352
604,GY101,Arts (Joint-Honours),300,374
605,GY104,Arts (Psychology),507,529
606,GY105,Arts (History),318,358
607,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397
608,GY109,Arts (Mathematics and Education),411,487
609,GY110,Arts with Children's Studies,382,409
610,GY111,Arts with Creative Writing,402,472
611,GY112,Arts with Film Studies,338,370
612,GY113,Arts with Human Rights,338,409
613,GY115,Arts with Performing Arts Studies,328,367
614,GY118,"Arts (Drama, Theatre and Performance Studies)",410,451
615,GY119,Journalism,410,475
616,GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,346
617,GY121,Arts (Children's Studies),356,389
618,GY122,Na Dána (Cumarsáid agus Gaeilge),308,399
619,GY123,BSc (Applied Social Sciences),357,388
620,GY124,Arts (Arts with Data Science),434,466
621,GY125,Arts (Digital Arts and Technology),324,379
622,GY126,Arts (English and Media Studies),418,451
623,GY127,Arts (Film and Digital Media),387,435
624,GY128,Arts (Global Languages),370,440
625,GY131,Arts (History and Globalisation Studies),340,431
626,GY132,"Government (Politics, Economics and Law)",402,444
627,GY133,Education (Computer Science and Mathematical  Studies),401,466
628,GY201,Commerce,420,453
629,GY202,Commerce (International) with French,484,513
630,GY203,Commerce (International) with German,489,541
631,GY204,Commerce (International) with Spanish,484,500
632,GY206,Business Information Systems (Work Placement & Optional Int`l Study),431,445
633,GY207,Commerce (Accounting) including optional Global Experience year,486,510
634,GY208,Commerce (Gaeilge),473,488
635,GY209,Commerce (Global Experience),509,531
636,GY250,Law & Business,436,467
637,GY251,Law,473,498
638,GY252,Law & Human Rights,510,521
639,GY261,"Business Studies (International Hotel Management, Shannon)",486,615
640,GY262,"Commerce (International Hotel Management, Shannon)",671,726
641,GY301,Science,400,456
642,GY303,Biomedical Science,533,566
643,GY304,Biotechnology,473,507
644,GY308,Environmental Science,413,440
645,GY309,Financial Mathematics and Economics,454,498
646,GY310,Marine Science,409,456
647,GY313,Environmental Health and Safety,402,435
648,GY314,Earth and Ocean Sciences,402,425
649,GY318,Biopharmaceutical Chemistry,510,532
650,GY319,Mathematical Science,456,531
651,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487
652,GY350,Computer Science and Information Technology,425,466
653,GY401,Engineering (Undenominated),444,499
654,GY402,Civil Engineering,509,543
655,GY405,Mechanical Engineering,443,499
656,GY406,Electronic and Computer Engineering,509,547
657,GY408,Biomedical Engineering,519,543
658,GY410,Project and Construction Management,434,464
659,GY413,Energy Systems Engineering,532,589
660,GY414,Electrical and Electronic Engineering,454,487
661,GY501,"Medicine (five year/six year course, HPAT required)",726,731
662,GY502,Occupational Therapy,532,543
663,GY503,Speech and Language Therapy,529,543
664,GY504,Podiatric Medicine,434,463
665,GY515,General Nursing (Galway and Portiuncula),442,466
666,GY516,Mental Health Nursing,388,413
667,GY517,Midwifery,429,468
669,LY108,Business - Accounting,318,399
670,LY118,Business,287,352
671,LY208,Law,300,359
672,LY218,Business - with Spanish/Irish options,298,367
673,LY228,Sports and Exercise (Common Entry),278,330
674,LY408,Design (Common Entry),307,368
675,LY508,Fire Safety Engineering,270,299
676,LY518,Quantity Surveying,307,368
677,LY528,Construction Management,267,291
