,title,code,pointsR1,pointsR2,HEI
240,Gnó agus Gaeilge / Business and Irish,DC118,359,nan,Dublin City University
241,Global Business (Canada),DC119,564,nan,Dublin City University
242,Enterprise Computing,DC120,357,nan,Dublin City University
243,Computer Applications,DC121,400,nan,Dublin City University
244,Data Science,DC123,465,nan,Dublin City University
245,Actuarial Mathematics,DC126,560,nan,Dublin City University
246,Common Entry into Actuarial and Financial Mathematics,DC127,532,520,Dublin City University
247,Communication Studies,DC131,407,402,Dublin City University
248,Journalism,DC132,429,422,Dublin City University
249,Multimedia,DC133,411,410,Dublin City University
250,Applied Language and Translation Studies,DC155,387,nan,Dublin City University
251,Analytical Science,DC161,498,489,Dublin City University
252,Chemical and Pharmaceutical Sciences,DC162,521,nan,Dublin City University
253,Environmental Science and Technology,DC166,433,399,Dublin City University
254,Genetics and Cell Biology,DC168,512,510,Dublin City University
255,Physics General Entry (options),DC175,419,402,Dublin City University
256,Biotechnology,DC181,499,495,Dublin City University
257,Electronic and Computer Engineering (with choice of four majors),DC190,413,nan,Dublin City University
258,Mechatronic Engineering,DC193,411,nan,Dublin City University
259,Mechanical and Manufacturing Engineering,DC195,425,nan,Dublin City University
260,Biomedical Engineering,DC197,423,nan,Dublin City University
261,Common Entry into Engineering (Undenominated Entry),DC200,422,nan,Dublin City University
262,Common Entry into Science (Undenominated Entry),DC201,498,488,Dublin City University
263,Sport Science and Health,DC202,500,498,Dublin City University
264,Science Education,DC203,435,nan,Dublin City University
265,Athletic Therapy and Training,DC204,522,519,Dublin City University
266,Physical Education with Biology,DC205,531,nan,Dublin City University
267,Physical Education with Mathematics,DC206,499,nan,Dublin City University
268,Psychology,DC208,532,521,Dublin City University
269,Health and Society,DC209,465,440,Dublin City University
270,General Nursing,DC215,454,433,Dublin City University
271,Mental Health Nursing,DC216,418,403,Dublin City University
272,Intellectual Disability Nursing,DC217,370,nan,Dublin City University
273,Children`s and General Nursing (Integrated),DC218,500,498,Dublin City University
274,"Economics, Politics and Law",DC230,435,nan,Dublin City University
275,International Relations,DC231,397,nan,Dublin City University
276,Law and Society (BCL),DC232,466,nan,Dublin City University
277,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,309,nan,Dublin City University
278,Social Sciences and Cultural Innovation,DC238,377,nan,Dublin City University
279,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",DC239,430,nan,Dublin City University
280,"Marketing, Innovation and Technology",DC240,476,474,Dublin City University
281,Arts (Joint Honours) - Media Studies,DC291,376,nan,Dublin City University
282,Arts (Joint Honours) - Law,DC292,403,nan,Dublin City University
283,Arts (Joint Honours) - International Languages,DC293,377,nan,Dublin City University
284,Arts (Joint Honours) - Politics,DC295,376,nan,Dublin City University
285,Accounting and Finance,DK810,305,305,Dundalk Institute of Technology
286,Business Studies,DK816,300,300,Dundalk Institute of Technology
287,Computing in Games Development,DK820,311,311,Dundalk Institute of Technology
288,Computing in Software Development,DK821,302,302,Dundalk Institute of Technology
289,Augmented and Virtual Reality,DK822,307,nan,Dundalk Institute of Technology
290,Building Surveying,DK830,336,nan,Dundalk Institute of Technology
291,Architectural Technology,DK831,389,nan,Dundalk Institute of Technology
292,Construction Management,DK832,387,nan,Dundalk Institute of Technology
293,Engineering (Common Entry),DK843,340,340,Dundalk Institute of Technology
294,Mechanical Engineering,DK844,305,305,Dundalk Institute of Technology
295,Electrical & Electronic Engineering,DK845,304,304,Dundalk Institute of Technology
296,Civil Engineering,DK846,391,361,Dundalk Institute of Technology
297,International Tourism Management,DK850,317,317,Dundalk Institute of Technology
298,Music (audition),DK860,532,532,Dundalk Institute of Technology
299,Arts,DK861,302,302,Dundalk Institute of Technology
300,Social Care,DK862,301,nan,Dundalk Institute of Technology
301,Creative Media,DK863,308,308,Dundalk Institute of Technology
302,Film and Television Production,DK864,300,300,Dundalk Institute of Technology
303,Audio and Music Production,DK865,301,nan,Dundalk Institute of Technology
304,General Nursing,DK870,403,401,Dundalk Institute of Technology
305,Intellectual Disability Nursing,DK872,336,nan,Dundalk Institute of Technology
306,Mental Health Nursing,DK874,356,nan,Dundalk Institute of Technology
307,Early Childhood Studies,DK876,321,nan,Dundalk Institute of Technology
308,Midwifery,DK877,440,nan,Dundalk Institute of Technology
309,Health and Physical Activity,DK880,328,nan,Dundalk Institute of Technology
310,Agriculture (Award options),DK882,310,nan,Dundalk Institute of Technology
311,Science (Award options),DK883,358,321,Dundalk Institute of Technology
312,Sustainable Agriculture,DK884,nan,nan,Dundalk Institute of Technology
313,Agri-Food Production,DK885,nan,nan,Dundalk Institute of Technology
314,Biopharmaceutical Science,DK886,301,nan,Dundalk Institute of Technology
315,Environmental Science,DK887,330,nan,Dundalk Institute of Technology
316,"English, Media and Cultural Studies",DL821,212,212,"Dun Laoghaire Institute of Art, Design and Technology"
317,Arts Management,DL822,229,229,"Dun Laoghaire Institute of Art, Design and Technology"
318,Business Management,DL823,235,nan,"Dun Laoghaire Institute of Art, Design and Technology"
319,Applied Psychology,DL825,379,nan,"Dun Laoghaire Institute of Art, Design and Technology"
320,Visual Communication Design,DL826,855,nan,"Dun Laoghaire Institute of Art, Design and Technology"
321,Art,DL827,572,nan,"Dun Laoghaire Institute of Art, Design and Technology"
322,"3D Design, Modelmaking and Digital Art",DL828,506,nan,"Dun Laoghaire Institute of Art, Design and Technology"
323,Design for Stage and Screen (Costume Design),DL829,593,nan,"Dun Laoghaire Institute of Art, Design and Technology"
324,Design for Stage and Screen (Character Makeup Design),DL830,939,nan,"Dun Laoghaire Institute of Art, Design and Technology"
325,Design for Stage and Screen (Production Design),DL831,781,nan,"Dun Laoghaire Institute of Art, Design and Technology"
326,Animation,DL832,920,nan,"Dun Laoghaire Institute of Art, Design and Technology"
