,code,title,EOS,Mid
12,GY209,Commerce (Global Experience),509,531
13,GY250,Law & Business,436,467
14,GY251,Law,473,498
15,GY252,Law & Human Rights,510,521
16,GY261,"Business Studies (International Hotel Management, Shannon)",#486,615
17,GY262,"Commerce (International Hotel Management, Shannon)",#671,726
18,GY301,Science,400,456
19,GY303,Biomedical Science,533,566
20,GY304,Biotechnology,473,507
21,GY308,Environmental Science,413,440
22,GY309,Financial Mathematics and Economics,454,498
23,GY310,Marine Science,409,456
24,GY313,Environmental Health and Safety,402,435
25,GY314,Earth and Ocean Sciences,402,425
26,GY318,Biopharmaceutical Chemistry,510,532
27,GY319,Mathematical Science,456,531
28,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487
